schema,doc_type,model,prompt,rouge1,rouge2,rougeL,bertscore,gen_time_s,docx_file,status
BRD_1,BRD,Llama3,A_baseline,0.771,0.643,0.759,0.865,294.86,experiment_outputs\BRD_1_Llama3_PromptA_baseline.docx,OK
BRD_1,BRD,GPT4,A_baseline,0.857,0.708,0.842,0.865,10.0,experiment_outputs\BRD_1_GPT4_PromptA_baseline.docx,OK
BRD_1,BRD,Claude,A_baseline,0.74,0.6,0.725,0.863,10.57,experiment_outputs\BRD_1_Claude_PromptA_baseline.docx,OK
BRD_1,BRD,Llama3,B_iso29148,0.702,0.585,0.694,0.86,357.29,experiment_outputs\BRD_1_Llama3_PromptB_iso29148.docx,OK
BRD_1,BRD,GPT4,B_iso29148,0.82,0.672,0.8,0.865,8.62,experiment_outputs\BRD_1_GPT4_PromptB_iso29148.docx,OK
BRD_1,BRD,Claude,B_iso29148,0.683,0.552,0.669,0.86,10.62,experiment_outputs\BRD_1_Claude_PromptB_iso29148.docx,OK
BRD_2,BRD,Llama3,A_baseline,0.794,0.67,0.787,0.864,270.18,experiment_outputs\BRD_2_Llama3_PromptA_baseline.docx,OK
BRD_2,BRD,GPT4,A_baseline,0.837,0.695,0.83,0.867,9.41,experiment_outputs\BRD_2_GPT4_PromptA_baseline.docx,OK
BRD_2,BRD,Claude,A_baseline,0.76,0.622,0.754,0.865,8.24,experiment_outputs\BRD_2_Claude_PromptA_baseline.docx,OK
BRD_2,BRD,Llama3,B_iso29148,0.743,0.629,0.74,0.867,348.46,experiment_outputs\BRD_2_Llama3_PromptB_iso29148.docx,OK
BRD_2,BRD,GPT4,B_iso29148,0.836,0.692,0.825,0.867,9.2,experiment_outputs\BRD_2_GPT4_PromptB_iso29148.docx,OK
BRD_2,BRD,Claude,B_iso29148,0.731,0.595,0.719,0.862,9.59,experiment_outputs\BRD_2_Claude_PromptB_iso29148.docx,OK
MoM_1,MOM,Llama3,A_baseline,0.855,0.699,0.832,0.905,242.5,experiment_outputs\MoM_1_Llama3_PromptA_baseline.docx,OK
MoM_1,MOM,GPT4,A_baseline,0.843,0.651,0.833,0.901,7.95,experiment_outputs\MoM_1_GPT4_PromptA_baseline.docx,OK
MoM_1,MOM,Claude,A_baseline,0.781,0.561,0.756,0.894,6.03,experiment_outputs\MoM_1_Claude_PromptA_baseline.docx,OK
MoM_1,MOM,Llama3,B_iso29148,0.816,0.69,0.797,0.906,289.48,experiment_outputs\MoM_1_Llama3_PromptB_iso29148.docx,OK
MoM_1,MOM,GPT4,B_iso29148,0.835,0.636,0.814,0.897,7.77,experiment_outputs\MoM_1_GPT4_PromptB_iso29148.docx,OK
MoM_1,MOM,Claude,B_iso29148,0.758,0.516,0.71,0.892,6.62,experiment_outputs\MoM_1_Claude_PromptB_iso29148.docx,OK
MoM_2,MOM,Llama3,A_baseline,0.809,0.61,0.687,0.892,331.76,experiment_outputs\MoM_2_Llama3_PromptA_baseline.docx,OK
MoM_2,MOM,GPT4,A_baseline,0.876,0.718,0.866,0.898,6.32,experiment_outputs\MoM_2_GPT4_PromptA_baseline.docx,OK
MoM_2,MOM,Claude,A_baseline,0.814,0.597,0.773,0.891,5.29,experiment_outputs\MoM_2_Claude_PromptA_baseline.docx,OK
MoM_2,MOM,Llama3,B_iso29148,0.841,0.664,0.788,0.894,333.76,experiment_outputs\MoM_2_Llama3_PromptB_iso29148.docx,OK
MoM_2,MOM,GPT4,B_iso29148,0.865,0.679,0.822,0.895,6.78,experiment_outputs\MoM_2_GPT4_PromptB_iso29148.docx,OK
MoM_2,MOM,Claude,B_iso29148,0.823,0.629,0.802,0.895,6.31,experiment_outputs\MoM_2_Claude_PromptB_iso29148.docx,OK
